Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
32298,CA-2012-124891,2012-07-31,2012-07-31,Same Day,RH-19495,Rick Hansen,Consumer,New York City,New York,United States,10024.0,US,East,TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,2309,7,0.0,762,933,Critical
40155,CA-2014-135909,2014-10-14,2014-10-21,Standard Class,JW-15220,Jane Waco,Corporate,Sacramento,California,United States,95823.0,US,West,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,5083,5,0.2,1906,867,Low
40936,CA-2012-116638,2012-01-28,2012-01-31,Second Class,JH-15985,Joseph Holt,Consumer,Concord,North Carolina,United States,28027.0,US,South,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4297,13,0.4,-1862,865,Critical
34577,CA-2011-102988,2011-04-05,2011-04-09,Second Class,GM-14695,Greg Maxwell,Corporate,Alexandria,Virginia,United States,22304.0,US,South,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4164,5,0.0,83,846,High
36178,CA-2014-143567,2014-11-03,2014-11-06,Second Class,TB-21175,Thomas Boland,Corporate,Henderson,Kentucky,United States,42420.0,US,South,TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard,2249,9,0.0,517,780,Critical
31784,CA-2011-154627,2011-10-29,2011-10-31,First Class,SA-20830,Sue Ann Reed,Consumer,Chicago,Illinois,United States,60610.0,US,Central,TEC-PH-10001363,Technology,Phones,Apple iPhone 5S,2735,6,0.2,341,752,High
37311,CA-2013-159016,2013-03-11,2013-03-12,First Class,KF-16285,Karen Ferguson,Home Office,Los Angeles,California,United States,90008.0,US,West,TEC-PH-10002885,Technology,Phones,Apple iPhone 5,4158,8,0.2,363,714,High
32735,CA-2012-139731,2012-10-15,2012-10-15,Same Day,JE-15745,Joel Eaton,Consumer,Amarillo,Texas,United States,79109.0,US,Central,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,2453,5,0.3,-350,690,High
32543,CA-2011-168494,2011-12-12,2011-12-14,Second Class,NP-18700,Nora Preis,Consumer,Fresno,California,United States,93727.0,US,West,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,3610,12,0.2,135,683,High
36423,CA-2011-160766,2011-09-14,2011-09-14,Same Day,DM-13015,Darrin Martin,Consumer,New York City,New York,United States,10009.0,US,East,TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,2799,4,0.0,1371,675,High
31980,US-2014-168116,2014-11-05,2014-11-05,Same Day,GT-14635,Grant Thornton,Corporate,Burlington,North Carolina,United States,27217.0,US,South,TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,7999,4,0.5,-3839,674,High
35395,CA-2011-116904,2011-09-23,2011-09-28,Standard Class,SC-20095,Sanjit Chand,Consumer,Minneapolis,Minnesota,United States,55407.0,US,Central,OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,9449,5,0.0,4630,655,Medium
40046,US-2012-163825,2012-06-16,2012-06-19,First Class,LC-16885,Lena Creighton,Consumer,New York City,New York,United States,10009.0,US,East,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,3050,3,0.2,1143,632,High
38198,US-2014-135013,2014-07-25,2014-07-25,Same Day,HR-14830,Harold Ryan,Corporate,Huntington Beach,California,United States,92646.0,US,West,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,2399,5,0.2,839,630,High
32941,CA-2012-111829,2012-03-19,2012-03-20,First Class,FH-14365,Fred Hopkins,Corporate,Seattle,Washington,United States,98115.0,US,West,TEC-CO-10001766,Technology,Copiers,Canon PC940 Copier,3149,7,0.0,1480,617,High
35594,CA-2014-129021,2014-08-24,2014-08-27,Second Class,PO-18850,Patrick O'Brill,Consumer,Tallahassee,Florida,United States,32303.0,US,South,TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,4367,13,0.2,327,609,Medium
39501,CA-2012-114811,2012-11-08,2012-11-08,Same Day,KD-16495,Keith Dawkins,Corporate,New York City,New York,United States,10024.0,US,East,TEC-MA-10000045,Technology,Machines,Zebra ZM400 Thermal Label Printer,4643,4,0.0,2229,607,Medium
39977,CA-2013-143805,2013-12-02,2013-12-04,Second Class,JD-15895,Jonathan Doherty,Corporate,Richmond,Virginia,United States,23223.0,US,South,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,2104,7,0.0,694,594,Critical
31806,CA-2012-145352,2012-03-16,2012-03-22,Standard Class,CM-12385,Christopher Martinez,Consumer,Atlanta,Georgia,United States,30318.0,US,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6354,5,0.0,3177,581,Medium
37817,CA-2014-138289,2014-01-17,2014-01-19,Second Class,AR-10540,Andy Reiter,Consumer,Jackson,Michigan,United States,49201.0,US,Central,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,5443,4,0.0,2504,567,High
38540,CA-2014-118892,2014-08-18,2014-08-23,Second Class,TP-21415,Tom Prescott,Consumer,Philadelphia,Pennsylvania,United States,19134.0,US,East,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,4416,9,0.3,-630,566,Medium
38411,US-2013-102239,2013-05-06,2013-05-07,First Class,LW-16990,Lindsay Williams,Corporate,Henderson,Nevada,United States,89015.0,US,West,FUR-TA-10003392,Furniture,Tables,Global Adaptabilities Conference Tables,1685,6,0.0,320,548,Critical
39465,CA-2014-107174,2014-11-07,2014-11-14,Standard Class,AB-10060,Adam Bellavance,Home Office,Seattle,Washington,United States,98105.0,US,West,FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,2036,7,0.0,366,524,Low
35574,US-2013-107440,2013-04-17,2013-04-21,Standard Class,BS-11365,Bill Shonely,Corporate,Lakewood,New Jersey,United States,8701.0,US,East,TEC-MA-10001047,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",9099,7,0.0,2365,516,Medium
39399,CA-2012-149846,2012-05-22,2012-05-26,Standard Class,SB-20185,Sarah Brown,Consumer,Los Angeles,California,United States,90045.0,US,West,TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2973,7,0.2,334,510,High
38362,CA-2011-106726,2011-12-06,2011-12-08,First Class,RS-19765,Roland Schwarz,Corporate,Los Angeles,California,United States,90008.0,US,West,OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock,1261,7,0.0,327,506,Critical
37923,CA-2011-145541,2011-12-14,2011-12-21,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,New York City,New York,United States,10024.0,US,East,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",6999,4,0.0,2239,499,Medium
40336,CA-2013-117121,2013-12-18,2013-12-22,Standard Class,AB-10105,Adrian Barton,Consumer,Detroit,Michigan,United States,48205.0,US,Central,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,9892,13,0.0,4946,498,Medium
32452,CA-2011-136567,2011-12-20,2011-12-21,First Class,PS-19045,Penelope Sewall,Home Office,Harrisonburg,Virginia,United States,22801.0,US,South,FUR-TA-10001932,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",2244,7,0.0,493,498,High
37722,CA-2013-143714,2013-05-24,2013-05-28,Standard Class,CC-12370,Christopher Conant,Consumer,Philadelphia,Pennsylvania,United States,19120.0,US,East,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,8399,4,0.4,1119,498,Medium
40932,CA-2011-151330,2011-10-14,2011-10-17,First Class,TC-21295,Toby Carlisle,Consumer,Everett,Massachusetts,United States,2149.0,US,East,FUR-CH-10000749,Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,1628,9,0.0,260,496,Critical
34153,CA-2013-128594,2013-08-27,2013-08-30,First Class,DJ-13510,Don Jones,Corporate,San Diego,California,United States,92037.0,US,West,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,1603,4,0.2,100,489,Critical
33088,CA-2011-120474,2011-12-01,2011-12-03,First Class,RP-19390,Resi Pölking,Consumer,Madison,Wisconsin,United States,53711.0,US,Central,FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,2807,8,0.0,673,487,High
40462,CA-2013-100300,2013-06-25,2013-06-27,Second Class,MJ-17740,Max Jones,Consumer,San Diego,California,United States,92037.0,US,West,TEC-MA-10000984,Technology,Machines,Okidata MB760 Printer,4476,4,0.2,503,485,High
34340,CA-2014-149559,2014-09-12,2014-09-13,Same Day,KF-16285,Karen Ferguson,Home Office,Long Beach,California,United States,90805.0,US,West,FUR-CH-10002320,Furniture,Chairs,Hon Pagoda Stacking Chairs,2054,8,0.2,256,480,Critical
32998,CA-2012-114069,2012-07-13,2012-07-15,Second Class,ND-18370,Natalie DeCherney,Consumer,New York City,New York,United States,10035.0,US,East,FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,1931,9,0.1,321,477,Critical
32274,CA-2014-159366,2014-01-08,2014-01-11,First Class,BW-11110,Bart Watters,Corporate,Detroit,Michigan,United States,48205.0,US,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059,2,0.1,679,471,Medium
31696,CA-2013-108987,2013-09-09,2013-09-11,Second Class,AG-10675,Anna Gayman,Consumer,Houston,Texas,United States,77036.0,US,Central,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396,4,0.32,-317,469,Critical
32382,US-2013-143819,2013-03-02,2013-03-06,Standard Class,KD-16270,Karen Daniels,Consumer,Yonkers,New York,United States,10701.0,US,East,TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,4899,7,0.0,2400,466,Medium
34667,CA-2013-134887,2013-03-26,2013-03-26,Same Day,TB-21280,Toby Braunhardt,Consumer,Norman,Oklahoma,United States,73071.0,US,Central,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,1287,5,0.0,244,457,Critical
39069,CA-2013-108196,2013-11-26,2013-12-03,Standard Class,CS-12505,Cindy Stewart,Consumer,Lancaster,Ohio,United States,43130.0,US,East,TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,4499,5,0.7,-6599,451,Low
33921,CA-2014-127180,2014-10-23,2014-10-25,First Class,TA-21385,Tom Ashbrook,Home Office,New York City,New York,United States,10024.0,US,East,TEC-PH-10001494,Technology,Phones,Polycom CX600 IP Phone VoIP phone,2399,8,0.0,647,449,High
35425,CA-2011-127299,2011-09-19,2011-09-24,Standard Class,JL-15835,John Lee,Consumer,Charlotte,North Carolina,United States,28205.0,US,South,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",2624,3,0.5,-944,443,High
36859,CA-2014-133263,2014-04-01,2014-04-03,Second Class,JE-15610,Jim Epp,Corporate,Atlanta,Georgia,United States,30318.0,US,South,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,2999,5,0.0,1439,439,High
39115,CA-2013-138478,2013-10-22,2013-10-27,Second Class,DP-13390,Dennis Pardue,Home Office,North Las Vegas,Nevada,United States,89031.0,US,West,OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,4535,3,0.2,1644,431,Medium
33102,US-2013-116729,2013-12-26,2013-12-29,First Class,GK-14620,Grace Kelly,Corporate,Los Angeles,California,United States,90049.0,US,West,TEC-PH-10002200,Technology,Phones,Samsung Galaxy Note 2,2575,7,0.2,257,429,Medium
34367,CA-2011-119375,2011-11-17,2011-11-22,Standard Class,YC-21895,Yoseph Carroll,Corporate,Newark,Delaware,United States,19711.0,US,East,OFF-ST-10002011,Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,2934,7,0.0,792,428,High
39721,CA-2014-150091,2014-10-13,2014-10-17,Standard Class,NP-18670,Nora Paige,Consumer,Lakewood,New Jersey,United States,8701.0,US,East,FUR-BO-10003404,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",2154,5,0.0,129,426,High
39211,CA-2014-165323,2014-06-18,2014-06-22,Standard Class,SR-20740,Steven Roelle,Home Office,New York City,New York,United States,10024.0,US,East,TEC-MA-10003673,Technology,Machines,Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404,5,0.0,1668,419,High
33317,CA-2013-168354,2013-09-20,2013-09-22,First Class,RH-19510,Rick Huthwaite,Home Office,Providence,Rhode Island,United States,2908.0,US,East,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",1606,9,0.0,481,418,High
36446,CA-2011-141796,2011-06-21,2011-06-21,Same Day,JG-15160,James Galang,Consumer,Long Beach,New York,United States,11561.0,US,East,TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,1214,3,0.0,352,417,Critical
33836,CA-2012-113404,2012-07-16,2012-07-16,Same Day,EM-13810,Eleni McCrary,Corporate,San Francisco,California,United States,94122.0,US,West,FUR-CH-10003312,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,1348,6,0.2,-219,415,Critical
33283,CA-2013-147417,2013-07-26,2013-07-28,First Class,CB-12415,Christy Brittain,Consumer,Columbus,Ohio,United States,43229.0,US,East,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1439,4,0.4,191,408,Critical
34570,CA-2014-133865,2014-05-09,2014-05-13,Standard Class,PS-19045,Penelope Sewall,Home Office,Los Angeles,California,United States,90032.0,US,West,TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,3359,6,0.2,1049,400,High
33100,CA-2014-158379,2014-09-23,2014-09-27,Second Class,JA-15970,Joseph Airdo,Consumer,Philadelphia,Pennsylvania,United States,19134.0,US,East,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4663,7,0.2,-1049,400,Medium
40567,US-2014-102183,2014-08-22,2014-08-29,Standard Class,PK-19075,Pete Kriz,Consumer,New York City,New York,United States,10035.0,US,East,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,4305,6,0.2,1453,398,Medium
33353,CA-2014-120376,2014-12-23,2014-12-26,First Class,TP-21130,Theone Pippenger,Consumer,Detroit,Michigan,United States,48227.0,US,Central,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,1586,7,0.0,412,397,High
34866,CA-2014-168109,2014-07-04,2014-07-04,Same Day,JK-15640,Jim Kriz,Home Office,Seattle,Washington,United States,98105.0,US,West,TEC-MA-10001148,Technology,Machines,Okidata MB491 Multifunction Printer,2395,6,0.2,209,396,High
35687,CA-2014-111556,2014-11-21,2014-11-23,First Class,CD-11920,Carlos Daly,Consumer,New York City,New York,United States,10035.0,US,East,TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,1259,3,0.0,327,394,Critical
